release_note_date,smushed_event_type,format_event_type,legacy_event_types,admin_interest,security_interest,event_type_description,event_type_tags
2017.43,appaccessrequestapproverdeny,app.access_request.approver.approve,app.access_request.approver.approve,1,0,Request to access an app was approved by an administrator-defined approver.,app-instance-request|event-hook-eligible
2017.43,appaccessrequestapproverdeny,app.access_request.approver.deny,app.access_request.approver.deny,1,0,Request to access an app was denied by an administrator-defined approver.,app-instance-request|event-hook-eligible
2017.43,appaccessrequestdelete,app.access_request.delete,app.access_request.delete,1,0,Request to access an app was deleted by an administrator.,app-instance-request|event-hook-eligible
2017.43,appaccessrequestdeny,app.access_request.deny,app.access_request.deny,1,0,Request to access an app was denied after at least one approver denied the request.,app-instance-request|event-hook-eligible
2017.43,appaccessrequestexpire,app.access_request.expire,app.access_request.expire,1,0,Request to access an app expired by the system due to lack of approver action.,app-instance-request|event-hook-eligible
2017.43,appaccessrequestgrant,app.access_request.grant,app.access_request.grant,1,0,Request to access an app was granted after all approvers approved the request.,app-instance-request|event-hook-eligible
2017.43,appaccessrequestrequest,app.access_request.request,app.access_request.request,0,0,Request to access an app was performed by a user.,app-instance-request|event-hook-eligible
2017.43,appadapiuserimportaccountlocked,app.ad.api.user_import.account_locked,app.ad.api.user_import.account_locked,0,0,Active Directory user account set to locked following profile update: user is locked in active directory.,ad-app
2016.1,appadapiuserimportwarnskippedcontactattributeinvalidvalue,app.ad.api.user_import.warn.skipped_contact.attribute_invalid_value,app.ad.api.user_import.warn.skipped_contact.attribute_invalid_value,0,0,Skipping import of contact due to invalid attribute. Please consult with your Active Directory admin if you believe this contact should be imported.,ad-app
2015.47,appadapiuserimportwarnskippeduserattributeinvalidvalue,app.ad.api.user_import.warn.skipped_user.attribute_invalid_value,app.ad.api.user_import.warn.skipped_user.attribute_invalid_value,0,0,Skipping import of user due to an invalid AD attribute.,ad-app
2015.47,appadapiuserimportwarnskippedusermissingrequiredattribute,app.ad.api.user_import.warn.skipped_user.missing_required_attribute,app.ad.api.user_import.warn.skipped_user.missing_required_attribute,0,0,Skipping import of user due to a required AD attribute being null.,ad-app
2011.01,appappinstancecsrgenerate,app.app_instance.csr.generate,app.app_instance.csr.generate,0,0,Certificate signing request (CSR) generated.,app
2017.15,appappinstancecsrpublish,app.app_instance.csr.publish,app.app_instance.csr.publish,0,0,Certificate signing request (CSR) published.,app
2017.15,appappinstancecsrrevoke,app.app_instance.csr.revoke,app.app_instance.csr.revoke,0,0,Certificate signing request (CSR) revoked.,app
2017.15,appappinstanceprovisionsyncjobcompleted,app.app_instance.provision_sync_job.completed,app.app_instance.provision_sync_job.completed,1,0,Fired when a provision sync job has successfully completed. This can be used to confirm that a provision sync job has finished running and is no longer processing users. When fired this event contains details about number of users processed in the job. Related events include app.app_instance.provision_sync_job.started and app.app_instance.provision_sync_job.failed.,admin|app|user-provision
2019.08.3,appappinstanceprovisionsyncjobfailed,app.app_instance.provision_sync_job.failed,app.app_instance.provision_sync_job.failed,1,0,Fired when a provision sync job has failed. This can be used to identify when a provision sync job has failed. When fired this event contains information about the reason the provision sync job failed. Related events include app.app_instance.provision_sync_job.started and app.app_instance.provision_sync_job.completed.,admin|app|user-provision
2019.08.3,appappinstanceprovisionsyncjobstarted,app.app_instance.provision_sync_job.started,app.app_instance.provision_sync_job.started,1,0,Fired when a provision sync job has successfully started. This can be used to confirm that a provision sync job has successfully started. Related events include app.app_instance.provision_sync_job.completed and app.app_instance.provision_sync_job.failed.,admin|app|user-provision
2019.08.3,appauditreportdownloadlocalactive,app.audit_report.download.local.active,app.audit_report.download.local.active,1,0,Application access report downloaded.,app
2017.52,appauditreportdownloadlocaldeprov,app.audit_report.download.local.deprov,app.audit_report.download.local.deprov,1,0,Recent unassignments report downloaded.,app
2017.52,appauditreportdownloadroguereport,app.audit_report.download.rogue.report,app.audit_report.download.rogue.report,1,0,Rogue report downloaded.,app
2017.52,appgenericunauthappaccessattempt,app.generic.unauth_app_access_attempt,app.generic.unauth_app_access_attempt,1,0,User attempted unauthorized access to app.,app
2016.06,appinbounddelauthloginsuccess,app.inbound_del_auth.login_success,app.inbound_del_auth.login_success,0,0,Successful inbound delegated authentication request for user.,delegated-auth
2016.18,appkerberosrichclientaccountnotfound,app.kerberos_rich_client.account_not_found,app.kerberos_rich_client.account_not_found,0,0,Kerberos based rich client authentication failed: Could not find Office 365 app user for the AD user with principal id.,app|kerberos-rich-client
2017.5,appkerberosrichclientinstancenotfound,app.kerberos_rich_client.instance_not_found,app.kerberos_rich_client.instance_not_found,0,0,Kerberos based rich client authentication failed: Unknown app instance id.,app|kerberos-rich-client
2017.5,appkerberosrichclientmultipleaccountsfound,app.kerberos_rich_client.multiple_accounts_found,app.kerberos_rich_client.multiple_accounts_found,0,0,Kerberos based rich client authentication failed: Multiple users with username found.,app|kerberos-rich-client
2017.5,appkerberosrichclientuserauthenticationsuccessful,app.kerberos_rich_client.user_authentication_successful,app.kerberos_rich_client.user_authentication_successful,0,0,Kerberos based rich client authentication successful for Office 365 user.,app|kerberos-rich-client
2017.52,appkeysclone,app.keys.clone,app.keys.clone_legacy,1,0,Application signing key cloned.,app
2017.25,appkeysgenerate,app.keys.generate,app.keys.generate_legacy,1,0,New signing key generated.,app
2017.25,appkeysrotate,app.keys.rotate,app.keys.rotate_legacy,1,0,Application signing key rotated.,app
2017.25,appldappasswordchangefailed,app.ldap.password.change.failed,app.ldap.password.change.failed,0,0,Password change failed.,ldap-app
2014.18,appoauth2adminconsentgrant,app.oauth2.admin.consent.grant,app.oauth2.admin.consent.grant_success,1,0,Administrator consent granted for scope. This event can be used to track when an administrator grants consent to a client to request a specific scope. This event is fired when an admin grants consent.,oauth2|oauth2-as-runtime|oauth2-org-as
2019.12.0,appoauth2adminconsentrevoke,app.oauth2.admin.consent.revoke,app.oauth2.admin.consent.revoke_success,1,0,Administrator consent revoked for scope. This event can be used to track when an administrator revokes consent to a client to request a specific scope. This event is fired when an admin revokes consent.,oauth2|oauth2-as-runtime|oauth2-org-as
2019.12.0,appoauth2asauthorize,app.oauth2.as.authorize,app.oauth2.as.authorize_failure,0,0,OAuth2 authorization request.,oauth2|oauth2-as-runtime|oauth2-custom-as
